Hour,HeartRate,TotalSteps,Calories,TotalCount
00,68.1,140.2,89,32933
01,67.5,142.6,88.8,25244
02,61.8,97.4,82.2,27515
03,60.3,31,71.2,17136
04,62,85.2,82.3,20094
05,64.8,413.6,123.7,29002
06,76.8,824,166.7,55757
07,77.2,847.5,145.6,85950
08,77.9,925,143.1,108964
09,81.4,999.9,152.8,125676
10,80.5,852.8,151.6,123678
11,79.4,730.5,142.9,126407
12,83.6,1035.6,166.4,134717
13,81.4,652.8,153.1,121817
14,82.8,957.2,167.1,125966
15,79.7,645.8,140.7,127831
16,84.4,1083.2,170.9,132347
17,85.2,1054.3,173.9,130889
18,86.4,1109.5,190.9,133067
19,82.9,751.2,156.3,123646
20,79,537.8,136.2,107582
21,75.3,373.6,114.2,89988
22,73,289.5,104.8,75975
23,70.4,208.9,94.9,48182
